Label;Text
negative;I had to purchase a different case.
negative;I had to walk out of the theatre for a few minutes just to get some relief!  
negative;I had wasted enough of my life there.
negative;I hate movies like that.  
negative;I hate those things as much as cheap quality black olives.
negative;I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.  
negative;I have 2-3 bars on my cell phone when I am home, but you can not hear anything.
positive;I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.
negative;I have always had a problem with formatting of some documents .
positive;I have always used corded headsets and the freedom from the wireless is very helpful.
positive;I have been here several times in the past, and the experience has always been great.
negative;I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.
positive;I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.
positive;I have been very satisfied with this cell phone from day one.
negative;I have bought this Nokia cell phone a few weeks ago and it was a nightmare.
positive;I have eaten here multiple times, and each time the food was delicious.
negative;I have had problems wit hit dropping signal and more.
negative;I have had this phone for over a year now, and I will tell you, its not that great.
positive;I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.
negative;I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.
positive;I have only had it for a few weeks, but so far, so good.
positive;I have purchased these for both family and friends, and all enjoy their clarity and ease of use
negative;I have this phone and it is a thorn in my side, I really abhor it.
negative;I have to jiggle the plug to get it to line up right to get decent volume.
positive;I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.  
positive;I have tried these cables with my computer and my iPod and it works just fine.
negative;I have two more years left in this contract and I hate this phone.
positive;I have used several phone in two years, but this one is the best.
negative;I have watched their prices inflate, portions get smaller!
neutral;I haven't seen him I I think they were away at the weekend
negative;I highly doubt that anyone could ever like this trash.  
positive;I highly recommend these and encourage people to give them a try.
positive;I highly recommend this case.
positive;I highly recommend this device to everyone!
positive;I highly recommend this modest priced cellular phone.
positive;I just can't explain this movie more than romantic,charming,hilarious,and adorable. 
negative;I just don't know how this place managed to served the blandest food I have ever eaten.
positive;I just saw this film and I recommend it.  
neutral;I just think they work
negative;I just wanted to leave.
positive;I keep watching it over and over.  
negative;I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.
positive;I knew when I saw the film that more great things were to come from this gifted actor.  
negative;I know he was a contract player with little control over his scripts, but the acting was as bad as the script.  
positive;I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.
negative;I know this is not like the other restaurants at all, something is very off here!
positive;I left the theater with a lilt in my step, joy in my heart and hope for the human race.  
negative;I left with a stomach ache and felt sick the rest of the day.
negative;I let my girlfriend talk me into seeing this - bad idea, we both hated it.  
positive;I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortable to wear 24 hours a day without pain in the ear.
positive;I like the fact that it rests lightly against your ear, rather than inside.
positive;I liked it.  
positive;I liked the analog convertor  too much.
positive;I liked the patio and the service was outstanding.
positive;I liked this movie way too much.  
positive;I liked this movie.  
negative;I literally vomited while watching this film.  
positive;I love all the features and form factor.
positive;I love being able to use one headset for both by land-line and cell.
positive;I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.
positive;I love the camera, it's really pretty good quality.
positive;I love the fact that everything on their menu is worth it.
positive;I love the look and feel of Samsung flip phones.
positive;I love the owner/chef, his one authentic Japanese cool dude!
positive;I love the Pho and the spring rolls oh so yummy you have to try.
positive;I love the ringtones because they are so upbeat!
positive;I love this bluetooth!
positive;I love this cable - it allows me to connect any mini-USB device to my PC.
positive;I love this device.
positive;I love this phone , It is very handy and has a lot of features .
positive;I love this phone!.
positive;I love this place , the staff are amazing , the tables are in great shape .
positive;I love this place.
positive;I love this thing!
positive;I LOVED it!
positive;I loved it.  
positive;I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.
positive;I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.  
neutral;I mean he's a young man and he's
negative;I mean really, how do you get so famous for your fish and chips when it's so terrible!?!
negative;I mean this in a terrible way.  
negative;I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  
negative;I might have gotten a defect, but I would not risk buying it again because of the built quality alone.
positive;I must say I have taped most of the episodes and i find myself watching them over and over again.  
negative;I never come again.
negative;I never walked out of a movie faster.  
negative;I only hear garbage for audio.
negative;I ordered this product first and was unhappy with it immediately.
positive;I own a Jabra Ear set and was very happy with it, but the sound quality, especially outgoing, on this is better.
negative;I paid the bill but did not tip because I felt the server did a terrible job.
negative;I paid too much.  
negative;I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  
negative;I plugged it in only to find out not a darn thing worked.
positive;I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!
negative;I probably won't be back, to be honest.
negative;I probably won't be coming back here.
negative;I probably would not go here again.
positive;I promise they won't disappoint.
negative;I purchased this and within 2 days it was no longer working!!!!!!!!!
negative;I purchased this for the car charger and it does not work.
positive;I really do recommend this place!
negative;I really don't see how anyone could enjoy this movie.  
positive;I really enjoyed eating here.
positive;I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.
positive;I really liked that.  
positive;I really liked their service.
positive;I really loved the story. 
positive;I really recommend this faceplates since it looks very nice, elegant and cool.
negative;I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good
positive;I received it quickly and it works great!!
positive;I received my headset in good time and was happy with it.
positive;I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.
negative;I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.
positive;I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!  
positive;I recommend this product hands down as the best one
neutral;I regularly use a number of varying programs from Visio to Logic Audio to MS Office.
neutral;I remember what it looked like years ago , old and gritty .
negative;I requested help but did not get results 
neutral;I said how's your business
positive;I sat riveted to the TV screen.  
positive;I saw this film over Christmas, and what a great film it was!  
negative;I saw this movie and I thought this is a stupid movie.  
positive;I saw this short film and absolutely loved it.  
positive;I searched the Internet, and found this one to be the best value.
negative;I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.
negative;I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.
positive;I struggle to find anything bad to say about it.  
negative;I swung in to give them a try but was deeply disappointed.
negative;I think food should have flavor and texture and both were lacking.
positive;I think i was one of the people who found this another one of roth's pearls.  
neutral;I think it was yesterday
positive;I think that it is a must see older John Wayne film.  
positive;I think this is one of the best movies ever.  
negative;I think this restaurant suffers from not trying hard enough.
negative;I thought it was average at best.
negative;I thought it was bad.  
negative;I took back my money and got outta there.
neutral;I took it to work one day
positive;I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.  
negative;I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.
positive;I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  
negative;I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.  
positive;I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!
negative;I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.
positive;I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.
negative;I vomited in the bathroom mid lunch.
negative;I waited and waited.
negative;I want my money back.
neutral;I want to improve the internet service
neutral;I want to increase the internet speed
neutral;I want to update the package
negative;I wanted to return item and get credit.
negative;"I was ""off route"" so often due to the poor maps."
positive;I was able to do voice dialing in the car with no problem.
positive;I was amazed at how timeless the film actually is.  
positive;I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.
negative;I was bored throughout the whole damn thing.  
positive;I was deeply impressed with the character he played.  
negative;I was disgusted because I was pretty sure that was human hair.
positive;I was impressed.  
negative;I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  
positive;I was looking for this headset for a long time and now that I've got it I couldn't be happier.
negative;I was mortified.
negative;I was not happy 
negative;I was not happy with this item.
negative;I was not impressed by this product.
positive;I was particularly pleased with the acting ability.  
negative;I was shocked because no signs indicate cash only.
negative;I was so insulted.
negative;I was somewhat disappointed
positive;I was totally fascinated by the music, the dancing... everything.  
negative;I was very disappointed in the movie.  
negative;I was VERY disappointed!!
positive;I was very excited to get this headset because I thought it was really cute.
positive;I was very impressed with the price of the cases.
positive;I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.
negative;I was very uneasy with how bad this movie was, but not scared at all.  
negative;I was wildly disappointed.
negative;I wasn't the least bit interested.  
negative;I wasted my little money with this earpiece.
positive;I wear glasses and it fits fine with them.
positive;I wear it everyday and it holds up very well.
positive;I will be back many times soon.
positive;"I will continue to come here... highly recommend this place to anyone who is in the area (;"
positive;I will continue to go here though for this type of experience , as the prices are so reasonable .
positive;I will go back again
positive;I will never forget it now.  
negative;I will never go back to this place and will never ever recommended this place to anyone!
negative;I will not be eating there again.
negative;I will not return.
negative;I wish I could enter negative values, admins?  
negative;I wish I could return the unit and get back my money.
negative;I won't be back.
positive;I won't say any more - I don't like spoilers, so I don't want to be one, but I believe this film is worth your time.  
negative;I won't try going back there even if it's empty.
negative;i would advise to not purchase this item it never worked very well.
positive;I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!
positive;I would give this television series a 10 plus if i could.  
positive;I would highly recommend this product.
positive;I would highly recommend this.
negative;I would not recommend this item to anyone.
negative;I would not recommend this place.
positive;I would recommend it.
positive;I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.
positive;I would recommend this.
negative;I wouldn't recommend buying this product.
negative;I wouldn't return.
negative;I wouldn't say they're worth 2 hours of your time, though.  
negative;i wouldnt see this movie again for free.  
positive;I'd advise anyone to go and see it.  
positive;I'd love to go back.
positive;If good intentions made a film great, then this film might be one of the greatest films ever made.  
negative;If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.
negative;If it was to turn my good day feeling into a night of disturbing memories than I guess he succeeded.  
negative;If it were possible to give them zero stars, they'd have it.
negative;If only someone involved with it knew how to string together narrative!  
negative;If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.
negative;If there is a wind, it is completely useless.
positive;If there was ever a movie that needed word-of-mouth to promote, this is it.  
positive;If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  
negative;If this premise sound stupid, that's because it is.  
negative;If you act in such a film, you should be glad that you're gonna drift away from earth as far as possible!  
positive;If you are looking for a movie with a terrific cast, some good music, and an uplifting ending, give this one a try.  
negative;If you are reading this please don't go there.
negative;If you check the director's filmography on this site you will see why this film didn't have a chance.  
negative;If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.
negative;If you hate earbuds, avoid this phone by all means.
positive;If you have not seen this movie, I definitely recommend it!  
negative;If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.
negative;If you haven't choked in your own vomit by the end (by all the cheap drama and worthless dialogue) you've must have bored yourself to death with this waste of time.  
positive;If you haven't gone here GO NOW!
negative;If you like a loud buzzing to override all your conversations, then this phone is for you!
negative;If you plan to use this in a car forget about it.
negative;If you see it, you should probably just leave it on the shelf.  
negative;if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.
positive;If you want a movie that's not gross but gives you some chills, this is a great choice.  
positive;If you want healthy authentic or ethic food, try this place.
negative;If you want to wait for mediocre food and downright terrible service, then this is the place for you.
negative;If you're looking for a trust worthy guide in unfamiliar areas - this ISN'T it.
negative;I'll be drivng along, and my headset starts ringing for no reason.
positive;I'll definitely be in soon again.
negative;I'll even say it again : this is torture.  
positive;I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  
negative;I'm a bit disappointed.
negative;Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  
positive;Im frustrated by the lack of intuition and steep learning curve the software offers
positive;i'm glad i found this product on amazon it is hard to find, it wasn't high priced.
positive;I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  
positive;I'm happy about this purchase- good quality and low price.
negative;I'm not eating here!
negative;I'm not impressed with the concept or the food.
negative;I'm not inspired to go back.
negative;I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.
negative;I'm not sure what he was trying to do with this film.  
positive;I'm pleased.
negative;I'm really disappointed all I have now is a charger that doesn't work.
negative;I'm returning them.
negative;I'm sending it back for a full refund
negative;I'm so disappointed 
positive;"I'm so happy to be here!!!"""
negative;I'm so sorry but I really can't recommend it to anyone.  
positive;I'm still infatuated with this phone.
negative;I'm still trying to get over how bad it was.  
negative;I'm super pissed.
positive;im surprised this is a good quality car charger and there's not much reviews about it.
negative;I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  
negative;I'm tired of using this on.
negative;I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  
negative;I'm trying to return it for a refund.
positive;I'm using it with an iriver SPINN (with case) and it fits fine.
negative;I'm very disappointed with my decision.
negative;IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  
negative;Improper description.... I had to return it.
positive;In a most wonderful location lies a story of contrast.  
negative;In a word, it is embarrassing.  
negative;"in addition it feels &amp; looks as if the phone is all lightweight cheap plastic."
positive;In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  
positive;In an interesting part of town, this place is amazing.
negative;In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  
neutral;in fact the whole family was together for Mary's wedding
negative;In fact, this stinker smells like a direct-to-video release.  
negative;In my house I was getting dropped coverage upstairs and no coverage in my basement.
positive;In other words, the content level of this film is enough to easily fill a dozen other films.  
negative;In particular the relationship between the bakery assistant and the waitress just didn't work for me at all.  
negative;In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.  
negative;In short, don't bother with this movie.  
negative;In summary, this was a largely disappointing dining experience.
positive;Incredible!.
negative;Instead, we got a bore fest about a whiny, spoiled brat babysitting.  
positive;Interesting decor.
positive;interesting place .
negative;Internet is excrutiatingly slow.
negative;Ironically I mostly find his films a total waste of time to watch.  
negative;Is it possible for a movie to get any worse than this?  
neutral;Is it so urgent?
positive;is pretty funny.  
neutral;Is that any of your business
positive;It  has some good items .
neutral;It  says in the blurb that you can use any of the 16 languages as the source language
positive;it  work with a faster processor.
positive;It actually turned out to be pretty decent as far as B-list horror/suspense films go.  
negative;It also had a new problem.
negative;It also took her forever to bring us the check when we asked for it.
negative;It always cuts out and makes a beep beep beep sound then says signal failed.
negative;It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.  
negative;It clashes with standard security software.
negative;It clicks into place in a way that makes you wonder how long that mechanism would last.
negative;It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  
negative;It deleted the whole package
positive;It deserves strong love.  
negative;it did not work in my cell phone plug i am very up set with the charger!.
negative;It didn't charge for me.
negative;"It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.  "
negative;It didn't work, people can not hear me when I talk.
negative;It directed me to the wrong direction.  
negative;It dit not work most of the time with my Nokia 5320.
positive;It does everything the description said it would.
negative;It doesn't make you look cool.
negative;It doesn't work in Europe or Asia.
positive;It even has its sweet moments.  
negative;It failed to convey the broad sweep of landscapes that were a great part of the original.  
positive;It features an outlandish array of memorable, psychotic but lovable nuts.  
positive;It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.
negative;It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.
positive;It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.
positive;It fits my ear well and is comfortable on.
negative;It had some average acting from the main person, and it was a low budget as you clearly can see.  
positive;It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.
positive;It has a very good plot, it holds your complete attention, the acting is superb.  
positive;It has all the features I want
positive;It has been a winner for us.
positive;It has everything I need and I couldn't ask for more.
positive;It has everything you could want... suspense, drama, comedy, confusing subplots, native americans, brain eating... If you're looking for the be-all, end-all of brain sucking movies, look no further.  
positive;It has kept up very well.
positive;It has no problems
positive;It has northern humour and positive about the community it represents.  
positive;It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.
negative;it is  boring. 
negative;it is  far too few for the price.
negative;It is a film about nothing, just a pretext to show ridiculous action scenes.  
positive;It is a joy to use.
positive;It is a really good show to watch.  
neutral;It is a regular cheesecake with white chocolate shavings and raspberry sauce .
positive;It is a true classic.  
positive;It is a very well acted and done TV Movie.  
positive;It is an excellent drama, an excellent thriller, and an excellent film.  
negative;It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  
positive;It is an insane game.  
positive;it is both refreshing and comforting to know that he is still relying on traditional hand-drawn animation to tell his charming and enchanting stories.  
negative;It is cheap, and it feel and look just as cheap.
positive;It is Comfortable.
positive;It is easy to turn on and off when you are in the car and the volume controls are quite accessable.
positive;It is especially nice when the weather is beautiful
negative;It is indescribably the most annoying and idiotic show I have ever seen.  
negative;It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.  
positive;It is light, easy to use, and has very clear reception and transmission.
positive;It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.
negative;It is not good.  
positive;It is not just a cult... it is a cult CLASSIC.  
negative;it is not worth your time and money.
negative;It is practically useless and did not add any kind of boost to my reception after I bought it.
positive;It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  
negative;It is shameful.  
positive;It is simple to use and I like it.
positive;It is so small and you don't even realize that it is there after a while of getting used to it.
positive;It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.
positive;It is the best charger I have seen on the market yet.
negative;It is unusable in a moving car at freeway speed.
positive;It is very comfortable on the ear.
positive;It is very comfortable to wear as well, which is probably the most important aspect about using a case.
positive;It is well made, easy to access the phone and has a handy, detachable belt clip.
positive;It is wonderful and inspiring to watch.  
positive;It is worth the drive.
negative;It is zillion times away from reality.  
negative;"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  "
negative;It just blew.  
negative;It kept getting worse and worse so now I'm officially done.
negative;It lacked flavor, seemed undercooked, and dry.
negative;It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.
positive;it looks nice and well
positive;It looks very nice.
negative;It looses connection to the phone even when it is within a couple feet between the two.
negative;It makes very strange ticking noises before it ends the call.
positive;It never condescends, all the characters have good genuine hearts.  
positive;It plays louder than any other speaker of this size.
positive;It presents a idyllic yet serious portrayal of the ups and downs of the characters lives.  
negative;It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  
positive;It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.
positive;It really created a unique feeling though.  
negative;It really is impressive that the place hasn't closed down.
positive;It rocked my world and is certainly a must see for anyone with no social or physical outlets.  
negative;It 's too bad , as i enjoyed the meal while it was happening , but this is a risk i would n't take again .
positive;It seems completely secure, both holding on to my belt, and keeping the iPhone inside.
negative;It simply fails to recognize them 
negative;It was a bit too sweet, not really spicy enough, and lacked flavor.
positive;It was a great phone.
positive;It was a long time that i didn't see a so charismatic actor on screen.  
negative;It was a pale color instead of nice and char and has NO flavor.
negative;It was a very superficial movie and it gave me the feeling that I was watching play rather than a film.  
negative;It was a waste of my money.
positive;It was absolutely amazing.
positive;It was also the right balance of war and love.  
positive;It was amazing 
negative;It was an inexpensive piece, but I would still have expected better quality.
negative;it was an unsatisfactory experience.  
positive;It was awesome.
positive;It was delicious!!!
negative;it was disgraceful.
negative;It was either too cold, not enough flavor or just bad.
negative;It was equally awful.
negative;"It was extremely ""crumby"" and pretty tasteless."
negative;It was forced, like everything in this movie.  
negative;It was horrendous.  
negative;It was horrible!.
negative;It was just not a fun experience.
negative;It was just too horrible.  
neutral;It was my first time here
negative;It was not good.
negative;It was pretty gross!
negative;It was probably dirt.
positive;It was quite comfortable in the ear.
negative;It was so bad, I had lost the heart to finish it.
negative;It was so BORING!  
positive;It Was So Cool.  
positive;It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.
negative;It was too predictable, even for a chick flick.  
negative;It was very disappointed.  
positive;It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  
negative;it wasn't very tasty to me.
negative;It will drive you barking mad!  
positive;It worked very well.
positive;It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.
positive;It works great with a car charger, especially if you cannot plug in two adapters at the same time.
negative;It would take too long to describe how bad my customer service experience has been with Amazon.
positive;Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.
positive;It's a campy sort of film that's a joy to watch.  
negative;It's a case of 'so bad it is laughable'.  
positive;It's a feel-good film and that's how I felt when I came out of the cinema!  
positive;It's a fresh, subtle, and rather sublime effect.  
positive;It's a gloriously fun, fast paced and fairly accurate portrayal of the night of a raver.  
positive;It's a great item.
positive;It's a great place and I highly recommend it.
positive;It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!
positive;It's a long time since I was so entertained by a movie.  
negative;It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.  
negative;It's A PIECE OF CRAP!
positive;its a pretty small place .
negative;It's a sad movie.
negative;It's a shame to see good actors like James make a living in a mess like this.  
positive;it's a wonderfully fun and imaginative look at childhood.  
negative;It's AGGRAVATING!
positive;it's an amazing job!  
negative;It's an empty, hollow shell of a movie.  
negative;it's an extremely difficult program to grasp 
positive;"It's been my choice headset for years.Great sound; good volume; good noise cancellation."
positive;it's cheap.  
negative;It's definitely one of  restaurants I won't be revisiting.
negative;It's dumb and pointless, and a complete waste of time.  
negative;its extremely slow and takes forever to do anything with it.
negative;it's extremely uninteresting.  
positive;It's fits like a glove and is strong, secure, and durable.
positive;It's hard not to fall head-over-heels in love with that girl.  
positive;It's just adorable.  
negative;It's just lame.  
negative;It's just painful!  
negative;It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.
negative;It's like a bad two hour TV movie.  
negative;It's NOT hard to make a decent hamburger.
negative;it's not only quite a silly noir but is an implausible unmitigated bore of a movie.  
negative;Its not user friendly.
negative;It's not what it says it is.
negative;It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  
positive;It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  
positive;"It's practically perfect in all of them � a true masterpiece in a sea of faux ""masterpieces.  "
positive;It's pretty easy.
positive;It's PURE BRILLIANCE.  
positive;It's quite simply the highest, most superlative form of cinema imaginable.  
positive;IT'S REALLY EASY.
negative;Its reception is very very poor.
negative;It's ridiculous.
negative;It's so bad it's actually worth seeing just for that reason.  
negative;It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.
positive;It's still wild stuff though and is highly recommended to fans of giallo cinema.  
negative;it's terrible.  
positive;Its the best headset I have used.
positive;It's the best!.
positive;It's the one movie that never ceases to interest me, simply because it keeps me alert, as I try to attempt to decipher it's meanings.  
negative;It's this pandering to the audience that sabotages most of his films.  
negative;It's too bad that everyone else involved didn't share Crowe's level of dedication to quality, for if they did, we'd have a far better film on our hands than this sub-par mess.  
negative;It's too bad.
negative;It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).
positive;It's very attractive and appears to be of good quality.
positive;It's very convenient and simple to use - gets job done & makes the car ride so much smoother.
positive;It's very cool.
positive;it's very good.  
negative;It's very slow.  
positive;Its well-designed and very sharp -- the blue is a very nice color.
negative;I've also had problems with the phone reading the memory card in which I always turn it on and then off again.
positive;I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).
neutral;I've got to go to the post office actually
positive;I've had better atmosphere.
positive;I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.
negative;I've had this bluetooth headset for some time now and still not comfortable with the way it fits on the ear.
positive;I've had this for nearly 2 years and it has worked great for me.
negative;I've never been more insulted or felt disrespected.
negative;I've never been treated so bad.
positive;I've only had my bluetooth for a few weeks, but I really like it.
positive;I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.
negative;I've seen soap operas more intelligent than this movie.  
positive;Jawbone Era is awesome too!
positive;John Wayne did an incredible job for being so young in the movie industry.  
negative;Just absolutely terrible service .
positive;Just consider the excellent story, solid acting and look of the film as added bonuses.  
negative;Just does not work.
positive;Just had lunch here and had a great experience.
positive;Just reading on the specs alone makes you say WOW.
positive;Just really good.. So far, probably the best BT headset I have ever had.
positive;Just what I wanted.
negative;"Just whatever you do, avoid ""Groove"" as its the antithesis of all that is good about Human Traffic.  "
positive;Keep up the good work Amazon!!
negative;Kind of flops around.
positive;Krusell Always good.
negative;Lame would be the best way to describe it.  
negative;Last time buying from you.
negative;Lasted one day and then blew up.
positive;Lately they have been extremely nice and helpful on the phone.
positive;Later I found myself lost in the power of the film.  
negative;Left very frustrated.
positive;Leopard Print is wonderfully wild!.
negative;Let's start with all the problems�the acting, especially from the lead professor, was very, very bad.  
negative;Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  
positive;Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  
positive;Light weight, I hardly notice it is there.
positive;lightweight and works well.
negative;"like the other reviewer said ""you couldn't pay me to eat at this place again."""
negative;Linksys should have some way to exchange a bad phone for a refurb unit or something!
negative;Long, whiny and pointless.  
negative;Looks good in the picture, but this case was a huge disappointment!!
positive;"Looks great and is strong."""
negative;"Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.  "
negative;Lots of holes in the script.  
positive;Lots of variety , always hot , and wonderful flavor .
negative;Lousy product.
positive;Love it.. Great armband.
positive;Love this headset!
positive;Love This Phone.
positive;Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.
positive;Love this product.
positive;Loved it...friendly servers, great food, wonderful and imaginative menu.
positive;Loved the casting of Jimmy Buffet as the science teacher.  
negative;Low Quality.
negative;Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.  
positive;Made very sturdy.
positive;Magical Help.
negative;Makes it easier to keep up with my bluetooth when I'm not wearing it.
positive;MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  
negative;Maybe if they weren't cold they would have been somewhat edible.
negative;Maybe there would be a reasonable explanation for this atrocity.  
negative;Mediocre food.
negative;Mic Doesn't work.
neutral;Mind your business
neutral;more often by medium I don't really know which one is best
positive;much better than the hard plastic cases.
positive;Much more interesting, more action, more suspense, and less of the unneeded controversy.  
negative;Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.
positive;My 8/10 score is mostly for the plot.  
negative;My brother ate here, and guess what he was sick all night too.
positive;My colleague & I now get great reception.A little expensive, but performance is great.
positive;My drink was never empty and he made some really great menu suggestions.
negative;My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!
negative;My father has the V265, and the battery is dying.
positive;My first visit was a delight!
negative;My friend did not like his Bloody Mary.
negative;My husband said she was very rude... did not even apologize for the bad food or anything.
negative;My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  
negative;My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.
negative;My rating: just 3 out of 10.  
negative;My sashimi was poor quality being soggy and tasteless.
positive;My sister has one also and she loves it.
negative;Needless to say, I wasted my money.
negative;Needless to say, I won't be going back anytime soon.
negative;Needless to say, we will never be back here again.
negative;Never again will I be dining at this place!
